Country Name,2005,2006,2007,2008,2009,2010
Aruba,,,,,,
Africa Eastern and Southern,458459.9946,465440.0082,486179.997,519309.9901,501940.0115,529639.9974
Afghanistan,1549.999952,1759.99999,1769.999981,3559.999943,4880.000114,7110.000134
Africa Western and Central,155280.001,148879.9972,142610.0024,151339.9997,146719.9976,165489.9977
Angola,15810.00042,16559.99947,16969.99931,19280.00069,21149.99962,22799.99924
Albania,4030.00021,4010.000229,4139.999866,4079.999924,4219.99979,4449.999809
Andorra,579.9999833,550.0000119,540.0000215,540.0000215,519.9999809,519.9999809
Arab World,1188503.621,1251799.659,1303116.441,1408053.35,1455346.868,1541776.726
United Arab Emirates,116459.9991,121559.9976,131830.0018,156050.0031,157020.0043,162789.9933
Argentina,145990.0055,154899.9939,162809.9976,167229.9957,156570.0073,167220.0012
Armenia,4460.000038,4489.999771,5199.999809,5690.000057,4510.000229,4340.000153
American Samoa,,,,,,
Antigua and Barbuda,409.9999964,439.9999976,460.0000083,479.9999893,1389.999986,490.0000095
Australia,370089.9963,375489.9902,385750,388940.0024,395290.0085,387540.0085
Austria,76239.99786,74099.99847,71239.99786,70730.00336,64419.99817,69959.99908
Azerbaijan,30040.00092,30489.99977,27629.99916,30450.00076,25500,24309.99947
Burundi,150.000006,180.0000072,180.0000072,180.0000072,180.0000072,300.0000119
Belgium,110610.0006,108650.0015,104589.9963,106930.0003,99669.99817,106720.0012
Benin,2900.000095,3470.000029,4000,4019.999981,4420.000076,4829.999924
Burkina Faso,1059.999943,1240.00001,1409.999967,1700.000048,1730.000019,2289.999962
Bangladesh,32709.99908,35900.00153,37990.00168,41580.00183,44750,50580.00183
Bulgaria,47990.00168,48950.00076,52599.99847,50040.00092,42909.99985,44740.00168
Bahrain,20690.00053,22489.99977,23000,24760.00023,24719.99931,25969.99931
"Bahamas, The",2109.999895,2099.999905,2119.999886,2200.000048,6170.000076,2079.999924
Bosnia and Herzegovina,16229.99954,17909.99985,18889.99939,20760.00023,20590.00015,20840.00015
Belarus,56779.99878,59119.99893,57650.00153,60529.99878,57400.00153,61669.99817
Belize,469.9999988,509.9999905,529.9999714,500,1460.000038,560.0000024
Bermuda,,,,,,
Bolivia,10050.00019,11229.99954,12079.99992,13109.99966,14000,15170.00008
Brazil,331690.0024,335619.9951,352559.9976,373630.0049,350000,397929.9927
Barbados,1419.999957,1470.000029,1480.000019,1779.999971,4619.999886,1549.999952
Brunei Darussalam,4989.999771,7519.999981,7139.999866,7909.999847,7869.999886,7170.000076
Bhutan,319.9999928,319.9999928,319.9999928,300.0000119,319.9999928,400.000006
Botswana,4280.00021,4090.000153,4320.000172,4389.999866,4190.000057,3369.999886
Central African Republic,219.9999988,230.0000042,239.9999946,170.0000018,170.0000018,170.0000018
Canada,549030.0293,540530.0293,571630.0049,550469.9707,521320.0073,537010.0098
Central Europe and the Baltics,733620.0037,751329.9971,758250.0057,740869.9799,683720.0065,707019.9957
Switzerland,45849.99847,45479.99954,43540.00092,44959.99908,43669.99817,45209.99908
Channel Islands,,,,,,
Chile,55970.00122,57150.00153,64569.99969,67989.99786,65449.99695,69750
China,5824629.883,6437470.215,6993180.176,7199600.098,7719069.824,8474919.922
Cote d'Ivoire,5880.000114,5699.999809,5659.999847,6469.99979,6030.00021,6349.999905
Cameroon,5019.999981,5090.000153,6130.000114,6389.999866,7030.00021,7010.000229
"Congo, Dem. Rep.",2210.000038,2279.999971,2470.000029,2549.999952,2500,2650.000095
"Congo, Rep.",4309.999943,4780.00021,4150.000095,4360.000134,4840.000153,5420.000076
Colombia,57639.99939,57689.99863,59180.00031,59779.99878,62009.99832,63560.00137
Comoros,150.000006,170.0000018,109.9999994,109.9999994,140.0000006,170.0000018
Cabo Verde,439.9999976,500,460.0000083,479.9999893,509.9999905,540.0000215
Costa Rica,6269.999981,6559.999943,7599.999905,7519.999981,7199.999809,7110.000134
Caribbean small states,37050.00049,40889.99981,41590.00033,39120.00042,47910.00104,38609.99896
Cuba,26319.99969,26780.00069,27680.00031,26750,26979.99954,28110.00061
Curacao,,,,,,
Cayman Islands,,,,,,
Cyprus,7900.000095,8000,8310.00042,8489.999771,8279.999733,7900.000095
Czechia,119989.9979,120599.9985,123620.0027,118309.9976,111169.9982,112250
Germany,802380.0049,814409.9731,783799.9878,789690.0024,734809.9976,773070.0073
Djibouti,430.0000072,430.0000072,469.9999988,469.9999988,469.9999988,519.9999809
Dominica,159.9999964,170.0000018,180.0000072,180.0000072,500,180.0000072
Denmark,50200.00076,58130.00107,53409.99985,50130.00107,47930.00031,48119.99893
Dominican Republic,18690.00053,20370.00084,20629.99916,20579.99992,19659.99985,20680.00031
Algeria,94190.00244,99809.99756,102750,107750,112169.9982,114180.0003
East Asia & Pacific (excluding high income),6832227.72,7474038.208,8068467.521,8306101.225,8812398.894,9648332.214
Early-demographic dividend,4678233.73,4932609.923,5227577.867,5427982.199,5589647.656,5865105.891
East Asia & Pacific,9349823.127,10010057.89,10693457.64,10888327.64,11372365.81,12346726.56
Europe & Central Asia (excluding high income),2728718.524,2840501.926,2897641.34,2936993.443,2709358.124,2846013.433
Europe & Central Asia,6798745.078,6920008.6,6919938.586,6869189.163,6349103.149,6589266.085
Ecuador,28219.99931,30129.99916,30639.99939,31690.00053,34500,37250
"Egypt, Arab Rep.",162220.0012,170750,183399.9939,189940.0024,197660.0037,200309.9976
Euro area,2746329.985,2729999.943,2692959.954,2635759.999,2438199.996,2501249.995
Eritrea,600.0000238,519.9999809,509.9999905,449.9999881,469.9999988,500
Spain,350500,341779.9988,354679.9927,324269.989,287489.9902,273250
Estonia,17229.99954,15979.99954,19979.99954,18399.99962,15050.00019,19000
Ethiopia,5050.000191,5400.000095,5960.000038,6489.999771,6530.00021,6469.99979
European Union,3488149.989,3496999.943,3456569.96,3378879.983,3129210.004,3213189.989
Fragile and conflict affected situations,588420.5151,582173.6506,564812.2951,603986.9168,603824.6543,652217.4495
Finland,55459.99908,67019.99664,65099.99847,56659.99985,54180.00031,62529.99878
Fiji,1289.999962,1379.999995,1259.99999,970.0000286,970.0000286,1159.999967
France,380660.0037,371549.9878,362829.9866,357989.9902,343730.011,347779.9988
Faroe Islands,,,,,,
"Micronesia, Fed. Sts.",159.9999964,140.0000006,140.0000006,119.9999973,129.9999952,109.9999994
Gabon,6059.999943,5440.000057,4940.000057,5269.999981,5199.999809,5760.000229
United Kingdom,540919.9829,542059.9976,530500,515340.0269,466489.9902,482440.0024
Georgia,4239.999771,4699.999809,5630.000114,4840.000153,5619.999886,5320.000172
Ghana,7039.999962,8510.000229,9119.999886,8659.999847,10010.00023,11189.99958
Gibraltar,,,,,,
Guinea,1830.000043,1899.999976,1980.000019,2009.99999,2119.999886,2500
"Gambia, The",330.0000131,360.0000143,409.9999964,430.0000072,490.0000095,439.9999976
Guinea-Bissau,209.9999934,219.9999988,230.0000042,219.9999988,230.0000042,239.9999946
Equatorial Guinea,8319.999695,9369.999886,8539.999962,9779.999733,9710.000038,9949.999809
Greece,101949.9969,100699.9969,104309.9976,100410.0037,94739.99786,87580.00183
Grenada,250,259.9999905,280.0000012,289.9999917,810.0000024,289.9999917
Greenland,,,,,,
Guatemala,11529.99973,11520.00046,12409.99985,11239.99977,11850.00038,11439.99958
Guam,,,,,,
Guyana,1480.000019,1330.000043,1610.000014,1600.000024,1629.999995,1759.99999
High income,13527970.56,13470500.38,13639623.28,13368207.52,12615646.25,13142042.96
"Hong Kong SAR, China",,,,,,
Honduras,6969.99979,7969.99979,8539.999962,8590.000153,8069.999695,8180.000305
Heavily indebted poor countries (HIPC),101850.0004,110930.0002,118309.9992,124489.999,132840,144550.0008
Croatia,21450.00076,21610.00061,22879.99916,21729.99954,20309.99947,19459.99908
Haiti,1700.000048,1720.000029,2049.999952,2029.999971,1990.00001,2460.000038
Hungary,55919.99817,55459.99908,53849.99847,53009.99832,47840.00015,47880.00107
IBRD only,13595019.87,14524470.11,15410040.2,15874240.03,16282529.82,17502109.82
IDA & IBRD total,14197332.51,15151121.41,16055027.68,16535877.85,16938488.37,18194932.77
IDA total,600924.1992,625111.2995,643286.7619,659876.5178,654075.6138,690757.7205
IDA blend,375710.0015,385629.9936,387549.9996,393860.0089,380259.9957,399799.9915
Indonesia,342149.9939,364470.0012,379959.9915,376140.0146,391079.9866,415519.989
IDA only,224688.054,238972.1898,255281.0857,265576.1397,273453.5696,290588.4913
Isle of Man,,,,,,
India,1136469.971,1215209.961,1336739.99,1424380.005,1564880.005,1659979.98
Not classified,,,,,,
Ireland,46650.00153,47259.99832,46360.00061,45779.99878,40560.00137,40189.99863
"Iran, Islamic Rep.",450790.0085,484179.9927,514140.0146,523049.9878,542289.978,541169.9829
Iraq,85129.99725,82959.99908,76650.00153,88139.99939,94199.99695,108550.0031
Iceland,2289.999962,2329.999924,2380.000114,2180.000067,2109.999895,1960.000038
Israel,61009.99832,64330.00183,66599.99847,66709.99908,65730.00336,70519.99664
Italy,473829.9866,466649.9939,459369.9951,444980.011,397059.9976,405269.989
Jamaica,10560.00042,12060.00042,12020.00046,9619.999886,7880.000114,7480.000019
Jordan,19870.00084,20170.00008,21090.00015,20010.00023,20659.99985,20200.00076
Japan,1212819.946,1189520.02,1225069.946,1158219.971,1100979.98,1156479.98
Kazakhstan,169210.0067,185300.0031,198389.9994,242029.9988,213610.0006,229699.9969
Kenya,8319.999695,9300.000191,9369.999886,9909.999847,11710.00004,12640.00034
Kyrgyz Republic,5300.000191,5320.000172,6469.99979,7510.000229,6760.000229,6349.999905
Cambodia,2660.000086,2960.000038,3660.000086,4059.999943,4750,5139.999866
Kiribati,70.0000003,70.0000003,59.99999866,59.99999866,59.99999866,50.00000075
St. Kitts and Nevis,219.9999988,230.0000042,250,250,699.9999881,239.9999946
"Korea, Rep.",481000,487850.0061,503690.0024,514919.9829,526640.0146,575219.9707
Kuwait,69910.00366,72430.00031,70599.99847,75839.99634,77650.00153,80720.00122
Latin America & Caribbean (excluding high income),1138730.011,1175959.976,1219939.991,1250109.988,1213999.998,1295859.992
Lao PDR,1259.99999,1639.999986,1730.000019,2049.999952,2539.999962,2880.000114
Lebanon,17280.00069,16229.99954,15039.99996,18649.99962,21899.99962,20860.00061
Liberia,670.0000167,689.9999976,639.9999857,540.0000215,540.0000215,730.0000191
Libya,52990.00168,52919.99817,49389.99939,53270.00046,56400.00153,59549.99924
St. Lucia,439.9999976,479.9999893,479.9999893,490.0000095,1370.000005,529.9999714
Latin America & Caribbean,1396987.128,1440012.061,1486985.319,1531593.658,1502504.355,1594532.536
Least developed countries: UN classification,146940.0008,156140.0015,166030.0014,175960.0013,191209.9988,207980.0017
Low income,195919.9984,205050.0014,199649.996,213709.9995,199170.0008,200509.9996
Liechtenstein,230.0000042,230.0000042,200.000003,219.9999988,209.9999934,189.9999976
Sri Lanka,13979.99954,12399.99962,13590.00015,12810.00042,12289.99996,13069.99969
Lower middle income,3275838.066,3448277.458,3668009.248,3794148.779,3942591.164,4149933.474
Low & middle income,13657118.54,14590704.82,15482425.69,15963920.96,16376067.72,17602120
Lesotho,430.0000072,430.0000072,439.9999976,460.0000083,529.9999714,550.0000119
Late-demographic dividend,9707076.365,10450322.5,11089124.6,11428644.43,11720037.55,12707645.33
Lithuania,12829.99992,13020.00046,13210.00004,13060.00042,11689.99958,12600.00038
Luxembourg,11909.99985,11720.00027,11109.99966,11020.00046,10439.99958,11029.99973
Latvia,7710.000038,8199.999809,8529.999733,8109.999657,7360.000134,8520.000458
"Macao SAR, China",,,,,,
St. Martin (French part),,,,,,
Morocco,43580.00183,45000,46349.99847,48630.00107,48750,51759.99832
Monaco,,,,,,
Moldova,8180.000305,7980.000019,8140.000343,8149.999619,7639.999866,8300.000191
Madagascar,1710.000038,1639.999986,1720.000029,1779.999971,1690.000057,1870.000005
Maldives,720.0000286,870.0000048,870.0000048,870.0000048,910.0000262,959.9999785
Middle East & North Africa,1691177.652,1788650.495,1871053.373,1984028.272,2048397.341,2137451.103
Mexico,432190.0024,448299.9878,457119.9951,459549.9878,448369.9951,462869.9951
Marshall Islands,140.0000006,140.0000006,140.0000006,129.9999952,140.0000006,140.0000006
Middle income,13461211.69,14385672.53,15282809.83,15750239.43,16176944.1,17401671.47
North Macedonia,9229.999542,9220.000267,9699.999809,9479.999542,8869.999886,8640.000343
Mali,1649.999976,1889.999986,2069.999933,2079.999924,2509.99999,2779.999971
Malta,2630.000114,2650.000095,2720.000029,2720.000029,2509.99999,2589.999914
Myanmar,10720.00027,9970.000267,10390.00034,7900.000095,7489.999771,8130.000114
Middle East & North Africa (excluding high income),1038968.028,1090219.898,1133101.687,1177338.023,1220199.563,1244541.693
Montenegro,2000,2180.000067,2099.999905,2690.000057,1750,2579.999924
Mongolia,11060.00042,12420.00008,13020.00046,12970.00027,13640.00034,14310.00042
Northern Mariana Islands,,,,,,
Mozambique,1710.000038,1860.000014,2230.000019,2240.00001,2490.00001,2680.000067
Mauritania,1509.99999,1730.000019,1990.00001,1899.999976,2349.999905,2400.000095
Mauritius,2960.000038,3299.999952,3400.000095,3470.000029,3420.000076,3660.000086
Malawi,759.9999905,779.9999714,829.9999833,959.9999785,980.0000191,889.9999857
Malaysia,167419.9982,174100.0061,189940.0024,202910.0037,181929.9927,200220.0012
North America,6304609.522,6195663.262,6310040.887,6110874.911,5679632.333,5931085.35
Namibia,2529.999971,2529.999971,2619.999886,2950.000048,3019.999981,3130.000114
New Caledonia,,,,,,
Niger,759.9999905,750,819.9999928,860.0000143,1080.000043,1370.000005
Nigeria,98720.00122,88769.99664,81120.00275,86930.00031,76949.99695,90059.99756
Nicaragua,4340.000153,4550.000191,4699.999809,4500,4389.999866,4510.000229
Netherlands,167929.9927,163699.9969,164550.0031,165220.0012,160490.0055,171110.0006
Norway,36349.99847,37200.00076,37750,36869.99893,37430.00031,41409.99985
Nepal,3190.000057,2619.999886,2690.000057,2990.00001,3880.000114,4639.999866
Nauru,70.0000003,50.00000075,39.99999911,39.99999911,39.99999911,39.99999911
New Zealand,34229.99954,34270.00046,33270.00046,34169.99817,31170.00008,31049.99924
OECD members,13187620.17,13119450.04,13287269.73,12953669.8,12192610.16,12682229.8
Oman,31010.00023,39189.99863,42259.99832,41310.00137,43590.00015,47080.00183
Other small states,125192.1897,134713.5373,144405.4495,151237.9434,147455.4883,159394.8005
Pakistan,121669.9982,132479.9957,146259.9945,142160.0037,145139.9994,140619.9951
Panama,7119.999886,7489.999771,7480.000019,7300.000191,8699.999809,9189.99958
Peru,31290.00092,30840.00015,33810.00137,38290.00092,41169.99817,45000
Philippines,76669.99817,69470.00122,73220.00122,75150.00153,76300.00305,81930.00031
Palau,259.9999905,250,239.9999946,209.9999934,200.000003,209.9999934
Papua New Guinea,4929.999828,4780.00021,5050.000191,4760.000229,5030.00021,5019.999981
Poland,301350.0061,314089.9963,313380.0049,308329.9866,297260.0098,313739.9902
Pre-demographic dividend,282009.9983,277749.9955,267610.003,294349.9995,300779.9936,339660.0007
Puerto Rico,,,,,,
"Korea, Dem. People's Rep.",77589.99634,78940.00244,65629.99725,72830.00183,55360.00061,51619.99893
Portugal,65470.00122,60450.00076,58799.99924,56840.00015,56299.99924,50939.99863
Paraguay,3700.000048,3950.000048,3720.000029,4320.000172,4570.000172,5039.999962
West Bank and Gaza,,,,,,
Pacific island small states,2749.999942,2800.00001,2669.999985,2260.000004,2330.000041,2499.999953
Post-demographic dividend,12521871.73,12408421.29,12540878.74,12197636.97,11409428.01,11869071.21
French Polynesia,,,,,,
Qatar,38540.00092,43770.00046,49830.00183,53040.00092,54069.99969,60580.00183
Romania,94709.99908,99260.00214,96730.00336,95419.99817,80709.99908,77620.00275
Russian Federation,1611979.98,1654849.976,1658150.024,1655189.941,1546670.044,1617829.956
Rwanda,550.0000119,550.0000119,579.9999833,560.0000024,589.9999738,600.0000238
South Asia,1310609.968,1401559.958,1540229.987,1628650.011,1777050.004,1877359.977
Saudi Arabia,315290.0085,335440.0024,354619.9951,389720.0012,406529.9988,446130.0049
Sudan,10500,12899.99962,13960.00004,14949.99981,15479.99954,16420.00008
Senegal,5670.000076,5570.000172,6199.999809,6440.000057,6670.000076,7030.00021
Singapore,36900.00153,37169.99817,38290.00092,38419.99817,38830.00183,42409.99985
Solomon Islands,340.0000036,340.0000036,340.0000036,319.9999928,330.0000131,340.0000036
Sierra Leone,449.9999881,589.9999738,500,519.9999809,519.9999809,560.0000024
El Salvador,6840.000153,7239.999771,7630.000114,6909.999847,6679.999828,6539.999962
San Marino,,,,,,
Somalia,579.9999833,579.9999833,620.0000048,620.0000048,610.0000143,629.9999952
Serbia,50689.99863,53009.99832,51459.99908,49830.00183,46869.99893,47099.99847
Sub-Saharan Africa (excluding high income),613359.9956,613930.0054,628389.9994,670229.9899,648210.009,694689.9952
South Sudan,910.0000262,1000,1169.999957,1240.00001,1289.999962,1309.999943
Sub-Saharan Africa,613739.9956,614320.0054,628789.9994,670649.9898,648660.009,695129.9952
Small states,165034.1517,178451.0716,188709.3033,192650.1463,197754.191,200531.8352
Sao Tome and Principe,79.99999821,79.99999821,79.99999821,90.00000358,90.00000358,100.0000015
Suriname,1690.000057,1529.999971,1409.999967,1460.000038,1450.000048,1740.00001
Slovak Republic,38520.00046,37869.99893,37189.99863,37099.99847,33909.99985,35430.00031
Slovenia,15920.00008,16290.00092,16280.00069,17360.00061,15510.00023,15779.99973
Sweden,50209.99908,48900.00153,47139.99939,46150.00153,42880.00107,48130.00107
Eswatini,660.0000262,649.9999762,660.0000262,629.9999952,699.9999881,649.9999762
Sint Maarten (Dutch part),,,,,,
Seychelles,379.9999952,389.9999857,400.000006,419.9999869,449.9999881,439.9999976
Syrian Arab Republic,57220.00122,60209.99908,63599.99847,65279.99878,60700.00076,61090.00015
Turks and Caicos Islands,,,,,,
Chad,479.9999893,509.9999905,500,540.0000215,790.0000215,1240.00001
East Asia & Pacific (IDA & IBRD countries),6754599.881,7395030.232,8002750.168,8233180.116,8756939.795,9596599.921
Europe & Central Asia (IDA & IBRD countries),3145922.116,3275143.554,3330288.166,3362102.596,3107305.962,3256471.539
Togo,1750,1570.000052,1500,1570.000052,2819.999933,2630.000114
Thailand,217770.0043,219880.0049,224589.9963,227580.0018,220259.9945,234380.0049
Tajikistan,2470.000029,2690.000057,3269.999981,3039.999962,2410.000086,2450.000048
Turkmenistan,50590.00015,51919.99817,58479.99954,59279.99878,52389.99939,59180.00031
Latin America & the Caribbean (IDA & IBRD countries),1346520.017,1388409.975,1433759.989,1478259.987,1442559.993,1539259.996
Timor-Leste,209.9999934,200.000003,200.000003,209.9999934,230.0000042,239.9999946
Middle East & North Africa (IDA & IBRD countries),1027780.016,1078479.986,1120900.007,1164659.989,1207059.979,1231139.984
Tonga,129.9999952,150.000006,129.9999952,129.9999952,140.0000006,119.9999973
South Asia (IDA & IBRD),1310609.968,1401559.958,1540229.987,1628650.011,1777050.004,1877359.977
Sub-Saharan Africa (IDA & IBRD countries),613739.9956,614320.0054,628789.9994,670649.9898,648660.009,695129.9952
Trinidad and Tobago,17590.00015,20059.99947,20500,20020.00046,19040.00092,21459.99908
Tunisia,22969.99931,23899.99962,24750,25250,25290.00092,27520.00046
Turkiye,235000,261079.9866,288970.0012,287190.0024,287829.9866,297109.9854
Tuvalu,9.999999776,9.999999776,9.999999776,9.999999776,9.999999776,9.999999776
Tanzania,5659.999847,6050.000191,5909.999847,6079.999924,5929.999828,6909.999847
Uganda,2019.999981,2400.000095,2869.999886,2970.000029,3359.999895,3329.999924
Ukraine,295410.0037,303989.9902,312140.0146,301200.0122,251619.9951,268920.0134
Upper middle income,10185333.66,10937246.64,11614652.32,11955965.94,12234316.71,13251515.61
Uruguay,5420.000076,6329.999924,5849.999905,7750,7670.000076,6280.00021
United States,5753490.234,5653080.078,5736319.824,5558379.883,5156430.176,5392109.863
Uzbekistan,119190.0024,127360.0006,122580.0018,128880.0049,116529.9988,126239.9979
St. Vincent and the Grenadines,250,250,270.0000107,250,889.9999857,250
"Venezuela, RB",147380.0049,147529.9988,142389.9994,151110.0006,152589.9963,164100.0061
British Virgin Islands,,,,,,
Virgin Islands (U.S.),,,,,,
Vietnam,92370.00275,94870.00275,105139.9994,117589.9963,132289.9933,151410.0037
Vanuatu,70.0000003,70.0000003,109.9999994,100.0000015,129.9999952,129.9999952
World,27414328.02,28302931.66,29368779.2,29595752.4,29267375.19,31043476.98
Samoa,209.9999934,200.000003,200.000003,170.0000018,180.0000072,189.9999976
Kosovo,,,,,,
"Yemen, Rep.",21110.00061,21920.00008,23270.00046,24219.99931,26569.99969,25430.00031
South Africa,377649.9939,379790.0085,397059.9976,426739.9902,404200.0122,425309.9976
Zambia,2289.999962,2180.000067,1980.000019,2190.000057,2490.00001,2660.000086
Zimbabwe,10510.00023,9829.999924,9760.000229,7599.999905,7750,9600.000381
